Sr_No,Location_Coordinates,Location,Hospital_Name,Hospital_Category,Hospital_Care_Type,Discipline_Systems_of_Medicine,Address_Original_First_Line,State,District,Subdistrict,Pincode,Telephone,Mobile_Number,Emergency_Num,Ambulance_Phone_No,Bloodbank_Phone_No,Foreign_pcare,Tollfree,Helpline,Hospital_Fax,Hospital_Primary_Email_Id,Hospital_Secondary_Email_Id,Website,Specialties,Facilities,Accreditation,Hospital_Regis_Number,Registeration_Number_Scan,Nodal_Person_Info,Nodal_Person_Tele,Nodal_Person_Email_Id,Town,Subtown,Village,Establised_Year,Ayush,Miscellaneous_Facilities,Number_Doctor,Num_Mediconsultant_or_Expert,Total_Num_Beds,Number_Private_Wards,Num_Bed_for_Eco_Weaker_Sec,Empanelment_or_Collaboration_with,Emergency_Services,Tariff_Range,State_ID,District_ID
5003,"21.7004835, 72.9876991","1st floor, Modi Compund, Paanch batti, Bharuch","Eye-Q Super Speciality Eye Hospitals, Bharuch",Private,Hospital,Allopathic,"1st floor, Modi Compund, Paanch batti",Gujarat,Bharuch,0,392001,0,0,0,0,0,0,0,0,0,,,http://www.eyeqindia.com/,"Eye Care, Spectacle Removal, Cataract, Refractive, Retina, Glaucoma, Pediatric, Oculoplasty, Visual Aid.\n",0,,,,,,,,,,,,,,,0,,,,,,24,0
5004,"21.7071409, 73.0088604","GS-18, Brund Complex, Residence Plaza, OppositeGEB Office, Maktampur Road.Bharuch\n","Centre For Sight, Bharuch",Private,Hospital,Allopathic,"GS-18, Brund Complex, Residence Plaza, OppositeGEB Office, Maktampur Road",Gujarat,Bharuch,0,392001,0,0,0,0,0,0,0,0,0,bharuch@newvisionindia.com,bharuch@newvisionindia.com,http://www.centreforsight.net/,Eye Care,0,,,,,,,,,,,,,,,0,,,,,,24,0
5005,"22.304912, 70.7987013","Civil Hospital Campus, Jamnagar Road, Rajkot\n",Pandit Deendayal Upadhyay Medical College (P.D.U Medical College),Public/ Government,Hospital,Allopathic,"Civil Hospital Campus, Jamnagar Road",Gujarat,Rajkot,0,360001,0,0,0,0,0,0,0,0,0281 2458340,deanrajkot@yahoo.co.in,deanrajkot@yahoo.co.in,www.pdumcrajkot.org,"Anatomy, Physiology, Biochemistry, Pathology, Microbiology, Pharmacology, Forensic Medicine, Community Medicine (PSM), Medicine, Dermatology, Venereology and Leprosy (D.V.L), Psychiatry, TB and Chest, Surgery, ENT, Ophthalmology (Eye), Orthopedics, Radiology, Anaesthesia, Paediatrics, Gynaecology and Obstetrics, Physiotherapy, Radiation Oncology, Dental",0,,,,,,,,,,,,,,,0,,,,,,24,0
5006,"22.3009602, 70.8009396","203, Embassy Building, OppositeJubilee Baug, Rajkot","Centre For Sight, Rajkot",Private,Hospital,Allopathic,"203, Embassy Building, OppositeJubilee Baug",Gujarat,Rajkot,0,360001,0,0,0,0,0,0,0,0,0,rajkot@newvisionindia.com,rajkot@newvisionindia.com,http://www.centreforsight.net/,Eye Care,0,,,,,,,,,,,,,,,0,,,,,,24,0
5007,nan,"3rd Floor, Samir Appts, Muktanand Nagar Complex., Surat","Centre For Sight, Surat",Private,Hospital,Allopathic,"3rd Floor, Samir Appts, Muktanand Nagar Complex",Gujarat,Surat,0,395003,0,0,0,0,0,0,0,0,0,samir@newvisionindia.com,samir@newvisionindia.com,http://www.centreforsight.net/,Eye Care,0,,,,,,,,,,,,,,,0,,,,,,24,0
5008,nan,"OppositeScience City, Daskroi Taluka, Bhadaj, Ahmedabad",Kesarl Sal Medical College and Research Institute,Private,Hospital,Allopathic,"OppositeScience City, Daskroi Taluka, Bhadaj",Gujarat,Ahmedabad,0,380060,0,0,0,0,0,0,0,0,0,ksalhospital@yahoo.com,ksalhospital@yahoo.com,www.kesarsalmedicalcollege.org,,0,,,,,,,,,,,,,,,0,,,,,,24,0
5009,"23.0526578, 72.6028262","B.J.Medical College, New Civil Hospital, Asarwa, Ahmedabad",B.J. Medical College,Public/ Government,Hospital,Allopathic,"B.J.Medical College, New Civil Hospital, Asarwa",Gujarat,Ahmedabad,0,380016,0,0,0,0,0,0,0,0,079 22683067,,,http://www.bjmc.org/,,0,,,,,,,,,,,,,,,0,,,,,,24,0
5010,"23.0187158, 72.5714269","Ellis Bridge, Ahmedabad",Smt.NHL Municipal Medical College,Public/ Government,Hospital,Allopathic,Ellis Bridge,Gujarat,Ahmedabad,0,380006,0,0,0,0,0,0,0,0,0,Info@nhlmmc.edu.in,Info@nhlmmc.edu.in,http://www.nhlmmc.edu.in,,0,,,,,,,,,,,,,,,0,,,,,,24,0
5011,nan,"Bopal-Ghuma Road, Ghuma, Daskroi, Ahmedabad",Ahmedabad Homeopathy Medical College,Public/ Government,Hospital,Ayush/ Homeopathy,"Bopal-Ghuma Road, Ghuma, Daskroi",Gujarat,Ahmedabad,0,380058,0,0,0,0,0,0,0,0,0,,,http://www.gujarathmc.org/Colleges/1377,,Homeopathy,,,,,,,,,,,Ayush/ Homeopathy,,,,0,,,,,,24,0
5012,"23.0827619, 72.524609","GMERS Medical Collage,\nSola, SG Highway, Ahmedabad\n",GMERS Medical College,Private,Hospital,Allopathic,"GMERS Medical Collage, Sola, SG Highway",Gujarat,Ahmedabad,0,380054,0,0,0,0,0,0,0,0,0,,,http://www.gmersmchsola.com,,0,,,,,,,,,,,,,,,0,,,,,,24,0
5013,nan,"108, Swastik Society, B/H St Xavier's Ladies Hostel, Navrangpura, Ahmedabad",Pulse Women's Hospital,Private,Hospital,Allopathic,"108, Swastik Society, B/H St Xavier's Ladies Hostel, Navrangpura",Gujarat,Ahmedabad,0,380009,0,0,0,0,0,0,0,0,079 26422616,ahmedabad@novaivifertility.com,ahmedabad@novaivifertility.com,http://www.pulse-hospital.com/,,0,,,,,,,,,,,,,,,0,,,,,,24,0
5014,"23.0328801, 72.5554597","101, White Cross, 15, Patel Society, Gulbai Tekra, Ahmedabad","Centre For Sight, Ahmedabad",Private,Hospital,Allopathic,"101, White Cross, 15, Patel Society, Gulbai Tekra",Gujarat,Ahmedabad,0,380009,0,0,0,0,0,0,0,0,0,amdavad@newvisionindia.com,amdavad@newvisionindia.com,http://www.centreforsight.net/,Eye Care,0,,,,,,,,,,,,,,,0,,,,,,24,0
5015,"23.0347264, 72.435679","College of Dental Sciences and ResearchCentre, Ahmedabad,\nOppositePleasure Club, Near Bhopal,\nManipur Ta.Sanand",College of Dental Sciences and Research,Public/ Government,Hospital,Allopathic,"College of Dental Sciences and ResearchCentre, OppositePleasure Club, Near Bhopal, Manipur Ta.Sanand",Gujarat,Ahmedabad,0,382115,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,24,0
5016,nan,"Vedanta Institute of Medical Sciences 1st Floor, Stadium Commerce Collage Road, Navrangpura",Hemato Oncology Clinic Pvt.Ltd.,Private,Hospital,Allopathic,"Vedanta Institute of Medical Sciences 1st Floor, Stadium Commerce Collage Road, Navrangpura",Gujarat,Ahmedabad,Navrangpura,380009,0,0,0,0,0,0,0,0,079 40042225,info@hematooncologyclinic.com,feedback@hematooncologyclinic.com / research@hematooncologyclinic.com,http://www.hematooncologyclinic.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,24,0
5017,"23.014477, 72.5597177","Opposite Suvidha Shopping Centre, Near Parimal Under Bridge",Aarna Super Speciality Hospital,Private,Hospital,Allopathic,"Opposite Suvidha Shopping Centre, Near Parimal Under Bridge",Gujarat,Ahmedabad,Paldi,380007,0,9898236060,079 40108108,0,0,0,0,0,0,contact@aashthehospital.com,0,http://www.aashthehospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,24,0
5018,"23.0146498, 72.6448899","28, New Kamlesh Society, Arbudanagar Road, Odhav","Dhwani General Hospital, Nursing Home and Materity Home",Private,Hospital,Allopathic,"28, New Kamlesh Society, Arbudanagar Road, Odhav",Gujarat,Ahmedabad,Odhav,382415,0,9428018840,0,0,0,0,0,0,0,info@dhwanihospital.com,0,http://dhwanihospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,24,0
5019,nan,"8, Vidyavihar Colony, Ashram Road,\nOpposite Hotel Fortune Landmark,\nUsmanpura",Aalok Orthocare Super Speciality Center,Private,Hospital,Allopathic,"8, Vidyavihar Colony, Ashram Road, Opposite Hotel Fortune Landmark, Usmanpura",Gujarat,Ahmedabad,Usmanpura,380013,0,0,9825107971,9426395786,0,0,0,0,0,0,0,http://www.aalokorthocare.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,24,0
5020,"23.0745277, 72.5125068","Sarjen Arcade, Beside Satyam Complex, Science city road",Motherhood Womens and Child Care Hospital,Private,Hospital,Allopathic,"Sarjen Arcade, Beside Satyam Complex, Science city road",Gujarat,Ahmedabad,Sola,380060,0,9099074235,0,0,0,0,0,0,079 29702511,admin@motherhoodhospital.com,0,http://www.motherhoodhospital.com/,0,"DandC, Biopsies, IUI, Laproscopy, Colposcopy and hysteroscopy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,24,0
5021,"23.0604664, 72.6398112","Opp Saijpur Tower, Saijpur Bogha, Naroda Road",Karnavati Super Speciality Hospital,Private,Hospital,Allopathic,"Opp Saijpur Tower, Saijpur Bogha, Naroda Road",Gujarat,Ahmedabad,Ahmedabad,382345,0,"09824097037, 09327020943",0,0,0,0,0,0,"079 22804824, 079 22804823",0,0,http://www.karnavatihospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,24,0
5022,nan,"Near.Jain Derasar, Borsalli Appartment Road, Nr.Cama Hotel, Khanpur",Life Care Emergency Centre,Private,Hospital,Allopathic,"Near.Jain Derasar, Borsalli Appartment Road, Nr.Cama Hotel, Khanpur",Gujarat,Ahmedabad,Khanpur,380001,0,9825012300,0,0,0,0,0,0,079 25504554,0,0,http://www.lifecare.co.in/contact.htm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,24,0
5023,"23.0843348, 72.5919754","Nr.Sabarmati Police Station Highway, Ramnagar, Sabarmati",Panchshil Hospital,Private,Hospital,Allopathic,"Nr.Sabarmati Police Station Highway, Ramnagar, Sabarmati",Gujarat,Ahmedabad,Sabarmati,380005,0,"09574066690, 09427950041","09924654654, 09924173173",0,0,0,0,0,079 27504098,panchshilhospital@yahoo.com\nalpanamaha@gmail.com,drlakshank99@gmail.com,http://www.panchshilhospital.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,24,0
5024,nan,"132, Feet Ring Road, Shyamal Cross Road, Satellite",Parekhs Hospital Pvt.Ltd,Private,Hospital,Allopathic,"132, Feet Ring Road, Shyamal Cross Road, Satellite",Gujarat,Ahmedabad,Satellite,380015,0,9662942393,0,0,0,0,0,0,079 40219998,info@parekhshospital.com,0,http://www.parekhshospital.com/,"General Surgery, Gastrointestinal and Hepotobilliary Surgery, Laproscopy and Endoscopy Surgery, Joint Replacement Surgery, Orthopedic and Trauma,\nSpine and Arthroscopy Surgery,\nNephrology and Dialysis,\nRadiology and Pathology,\nCancer, Urology - Stone Clinic,\nInternal, Emergency and Critical Medicine, Preventive Health Check, Obstretic, Gynecology and Infertility, Plastic Surgery - Cosmetology, ENT, Neurology and Neurosurgery, Anesthesia and Pain Clinic",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,24,0
5025,nan,"Nr Jethabhai Park, Shantivan, Narayan Nagar Road, Paldi",Aims Hospital,Public/ Government,Hospital,Allopathic,"Nr Jethabhai Park, Shantivan, Narayan Nagar Road, Paldi",Gujarat,Ahmedabad,Paldi,380007,0,0,079 32423242,0,0,0,0,0,0,0,0,www.aimscare.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,24,0
5026,"23.0402216, 72.5282073","1, Uday Park Society, Near Sunrise Park, Vastrapur",Sanjivani Super Speciality Hospital,Private,Hospital,Allopathic,"1, Uday Park Society, Near Sunrise Park, Vastrapur",Gujarat,Ahmedabad,Vastrapur,380015,0,"09924155742, 09712385485",9099089121,0,0,0,0,0,079 26307165,sanjivanissh@yahoo.com,0,http://www.sanjivanihospitals.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,24,0
5027,"23.0500108, 72.6080297","Civil Hospital Campus, Asarwa",Government Spine Institute,Public/ Government,"Medical College / Institute, Hospital",Allopathic,"Civil Hospital Campus, Asarwa",Gujarat,Ahmedabad,0,380016,0,9825414366,0,0,0,0,0,0,0,paraplegiahospital@vsnl.net,0,http://www.gsiahmedabad.org/about.html,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,24,0
5028,nan,"Pramukh Vatika, Shahibaug, BAPS Shri Swaminarayan Mandir",BBAPS Yogiji Maharaj Hospital,Private,Hospital,Allopathic,"Pramukh Vatika, Shahibaug, BAPS Shri Swaminarayan Mandir",Gujarat,Ahmedabad,Shahibaug,380004,0,9998991702,0,0,0,0,0,0,0,info@swaminarayan.org,0,http://www.baps.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,24,0
5029,"23.058054, 72.5124183","Plot No-221/222, Hebatpur Road, Thaltej, Off S.L.Highway",Columbia Asia Hospital,Private,Hospital,Allopathic,"Plot No-221/222, Hebatpur Road, Thaltej, Off S.L.Highway",Gujarat,Ahmedabad,Ahmedabad,380059,0,0,0,0,0,0,0,0,0,0,0,http://india.columbiaasia.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,24,0
5030,nan,"Plot No.1 A, Bhat GIDC Estate",Apollo Hospital International Ltd.,Private,Hospital,Allopathic,"Plot No.1 A, Bhat GIDC Estate",Gujarat,Ahmedabad,Gandhinagar,382428,0,0,"079 66701866, 079 66701066",0,0,0,0,079 66701066,079 66701843,info@apolloahd.com,0,http://apolloahd.com/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,24,0
5031,nan,"Civil Hospital Campus, Asarwa",Institute of Kidney Diseases Research Centre,Public/ Government,"Medical College / Institute, Hospital",Allopathic,"Civil Hospital Campus, Asarwa",Gujarat,Ahmedabad,0,380016,0,9824735624,0,0,0,0,0,0,079 22685454,ikdrcad1@sancharnet.in,0,http://www.ikdrc-its.org/,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,24,0
5032,"23.0514383, 72.6051161","D block, Office of the Medical Superintendent Civil Hospital,\nAsarwa",Civil Hospital,Public/ Government,Hospital,Allopathic,"D block, Office of the Medical Superintendent Civil Hospital,\nAsarwa",Gujarat,Ahmedabad,0,380016,0,9978405057,0,0,0,0,0,0,079 22683421,info@civilhospitalamdavad.org,0,http://civilhospitalamdavad.org/page_id=217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,0,0,0,0,0,24,0
